Date,Adj Close,Close,High,Low,Open,Volume
,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
2021-07-01,1433.42529296875,1486.75,1502.0,1483.0,1502.0,8455721
2021-07-02,1427.3031005859375,1480.4000244140625,1489.25,1477.0,1485.0,7413518
2021-07-05,1441.813232421875,1495.449951171875,1504.5,1484.550048828125,1489.949951171875,3686941
2021-07-06,1479.6553955078125,1534.699951171875,1540.0,1496.0,1497.0,8834516
2021-07-07,1484.2833251953125,1539.5,1545.3499755859375,1527.699951171875,1534.0,4814595
2021-07-08,1465.9166259765625,1520.449951171875,1537.699951171875,1513.449951171875,1525.0,4210461
2021-07-09,1448.1282958984375,1502.0,1516.0,1497.5,1512.550048828125,5347921
2021-07-12,1433.6663818359375,1487.0,1502.0,1484.0,1502.0,7229489
2021-07-13,1447.983642578125,1501.8499755859375,1506.0999755859375,1484.0999755859375,1496.0999755859375,9089071
2021-07-14,1445.380615234375,1499.1500244140625,1507.3499755859375,1491.0999755859375,1497.5,4894247
2021-07-15,1466.15771484375,1520.699951171875,1526.75,1499.6500244140625,1505.0,5219401
2021-07-16,1467.7484130859375,1522.3499755859375,1529.949951171875,1518.800048828125,1527.949951171875,2585314
2021-07-19,1418.240234375,1471.0,1488.8499755859375,1466.0,1487.0,12555800
2021-07-20,1391.3890380859375,1443.1500244140625,1454.0,1436.1500244140625,1442.0,12087125
2021-07-22,1396.739990234375,1448.699951171875,1468.5,1445.0,1456.0999755859375,6603557
2021-07-23,1391.0035400390625,1442.75,1457.449951171875,1435.300048828125,1451.5,6563342
2021-07-26,1383.0975341796875,1434.550048828125,1444.0,1428.0999755859375,1430.0,6583583
2021-07-27,1388.1109619140625,1439.75,1449.9000244140625,1436.0999755859375,1436.0999755859375,11200715
2021-07-28,1366.4661865234375,1417.300048828125,1438.699951171875,1404.0,1435.050048828125,10335171
2021-07-29,1367.3822021484375,1418.25,1429.949951171875,1413.300048828125,1428.25,6851115
2021-07-30,1375.2879638671875,1426.449951171875,1431.75,1407.949951171875,1419.0,5827744
2021-08-02,1371.6243896484375,1422.6500244140625,1435.0,1416.25,1435.0,6629393
2021-08-03,1383.2420654296875,1434.699951171875,1439.9000244140625,1410.0,1410.0,6016560
2021-08-04,1412.74462890625,1465.300048828125,1474.5,1440.0,1441.0,11026974
2021-08-05,1431.5933837890625,1484.8499755859375,1507.050048828125,1457.4000244140625,1467.0999755859375,9411204
2021-08-06,1439.11376953125,1492.6500244140625,1500.0,1474.0,1483.550048828125,6669635
2021-08-09,1449.960205078125,1503.9000244140625,1507.3499755859375,1476.0,1492.0,5499024
2021-08-10,1453.5758056640625,1507.6500244140625,1519.75,1489.0,1489.0,7419173
2021-08-11,1441.3310546875,1494.949951171875,1518.8499755859375,1491.050048828125,1514.9000244140625,6292893
2021-08-12,1447.5498046875,1501.4000244140625,1507.5999755859375,1489.300048828125,1497.0,4298837
2021-08-13,1471.46044921875,1526.199951171875,1531.0,1501.0,1501.199951171875,8329214
2021-08-16,1475.7025146484375,1530.5999755859375,1535.0,1521.449951171875,1526.1500244140625,3126389
2021-08-17,1460.3245849609375,1514.6500244140625,1524.0,1505.300048828125,1517.199951171875,4141333
2021-08-18,1458.73388671875,1513.0,1565.3499755859375,1508.3499755859375,1556.699951171875,11492966
2021-08-20,1460.4210205078125,1514.75,1519.800048828125,1486.050048828125,1486.050048828125,6575203
2021-08-23,1469.9176025390625,1524.5999755859375,1533.1500244140625,1508.6500244140625,1529.8499755859375,5421527
2021-08-24,1502.939208984375,1558.8499755859375,1564.5,1527.449951171875,1530.0,9190657
2021-08-25,1501.541259765625,1557.4000244140625,1564.800048828125,1548.0,1552.0999755859375,3863987
2021-08-26,1499.0345458984375,1554.800048828125,1571.0,1543.449951171875,1550.0,5559501
2021-08-27,1492.9122314453125,1548.449951171875,1558.6500244140625,1545.25,1552.0,3191069
2021-08-30,1512.002197265625,1568.25,1570.0,1551.5999755859375,1555.5999755859375,4524583
2021-08-31,1524.6805419921875,1581.4000244140625,1583.3499755859375,1562.199951171875,1563.5,6031288
2021-09-01,1522.4630126953125,1579.0999755859375,1598.0,1574.5,1575.0,6211279
2021-09-02,1532.0079345703125,1589.0,1592.0,1571.25,1574.0999755859375,4809262
2021-09-03,1519.5225830078125,1576.050048828125,1598.0,1568.300048828125,1586.0999755859375,5367667
2021-09-06,1509.5435791015625,1565.699951171875,1580.949951171875,1561.949951171875,1579.949951171875,3938448
2021-09-07,1512.96630859375,1569.25,1582.0,1555.199951171875,1562.5,3622748
2021-09-08,1519.85986328125,1576.4000244140625,1580.5,1565.5999755859375,1571.949951171875,3362040
2021-09-09,1512.339599609375,1568.5999755859375,1579.449951171875,1561.0,1574.0,4125474
2021-09-13,1499.7576904296875,1555.550048828125,1584.0,1553.6500244140625,1562.0,4479582
2021-09-14,1493.0087890625,1548.550048828125,1564.5,1546.5999755859375,1560.0,4879253
2021-09-15,1491.321533203125,1546.800048828125,1554.800048828125,1535.0,1535.0,7411499
2021-09-16,1503.999755859375,1559.949951171875,1564.300048828125,1536.300048828125,1537.75,5130275
2021-09-17,1525.4036865234375,1582.1500244140625,1589.0,1559.199951171875,1569.0,10249051
2021-09-20,1503.9033203125,1559.8499755859375,1581.699951171875,1558.0,1564.0,4390805
2021-09-21,1496.2867431640625,1551.949951171875,1568.6500244140625,1528.949951171875,1562.0,7387498
2021-09-22,1478.6912841796875,1533.699951171875,1550.1500244140625,1530.0,1549.0,5291101
2021-09-23,1513.689453125,1570.0,1572.0,1542.0,1542.0,6832152
2021-09-24,1544.1077880859375,1601.550048828125,1607.949951171875,1575.0,1579.0,10403351
2021-09-27,1566.8131103515625,1625.0999755859375,1635.5,1608.0,1615.699951171875,8207731
2021-09-28,1557.12353515625,1615.050048828125,1632.0,1582.0,1632.0,6386895
2021-09-29,1536.6839599609375,1593.8499755859375,1606.5999755859375,1585.1500244140625,1597.0,8131518
2021-09-30,1537.7445068359375,1594.949951171875,1606.3499755859375,1583.0999755859375,1586.0,7987674
2021-10-01,1525.933837890625,1582.699951171875,1589.0,1565.25,1583.0,5564298
2021-10-04,1528.87451171875,1585.75,1601.3499755859375,1583.5999755859375,1589.0,3525514
2021-10-05,1538.2265625,1595.449951171875,1597.5,1576.25,1592.0,5128589
2021-10-06,1556.97900390625,1614.9000244140625,1626.8499755859375,1587.0,1596.0,9300415
2021-10-07,1552.73681640625,1610.5,1627.699951171875,1607.0,1626.5999755859375,5632862
2021-10-08,1545.1683349609375,1602.6500244140625,1622.0,1600.1500244140625,1612.0,3622781
2021-10-11,1575.201171875,1633.800048828125,1645.0,1599.0,1599.9000244140625,6540424
2021-10-12,1571.1517333984375,1629.5999755859375,1641.550048828125,1625.0,1625.0,4088473
2021-10-13,1580.600341796875,1639.4000244140625,1648.0,1630.0,1637.0,3112822
2021-10-14,1626.878662109375,1687.4000244140625,1690.0,1638.0,1638.0,7378644
2021-10-18,1610.39208984375,1670.300048828125,1725.0,1667.050048828125,1705.0,14428228
2021-10-19,1628.132080078125,1688.699951171875,1692.449951171875,1671.0,1675.449951171875,4493770
2021-10-20,1613.814697265625,1673.8499755859375,1698.75,1664.449951171875,1689.0999755859375,5454284
2021-10-21,1616.1768798828125,1676.300048828125,1681.949951171875,1660.8499755859375,1671.800048828125,4869095
2021-10-22,1620.4671630859375,1680.75,1708.0,1670.75,1680.0999755859375,6087777
2021-10-25,1597.5689697265625,1657.0,1690.0,1613.800048828125,1690.0,8213383
2021-10-26,1593.471435546875,1652.75,1673.8499755859375,1646.3499755859375,1650.0,6045328
2021-10-27,1583.87841796875,1642.800048828125,1665.050048828125,1637.300048828125,1652.75,6624821
2021-10-28,1536.4429931640625,1593.5999755859375,1650.0,1587.1500244140625,1650.0,8898875
2021-10-29,1526.0784912109375,1582.8499755859375,1602.0,1560.0,1590.0,6203437
2021-11-01,1547.723388671875,1605.300048828125,1611.0,1583.550048828125,1585.0,4061160
2021-11-02,1549.1212158203125,1606.75,1622.0,1600.050048828125,1606.0,6618861
2021-11-03,1524.7286376953125,1581.449951171875,1609.9000244140625,1575.550048828125,1605.0999755859375,5103669
2021-11-04,1536.7803955078125,1593.949951171875,1597.8499755859375,1590.0999755859375,1595.0,548404
2021-11-08,1542.8543701171875,1600.25,1604.699951171875,1570.449951171875,1592.0999755859375,9471790
2021-11-09,1515.8587646484375,1572.25,1594.5999755859375,1569.050048828125,1594.5999755859375,6347738
2021-11-10,1499.468505859375,1555.25,1569.0,1550.0,1568.0,6857063
2021-11-11,1492.7677001953125,1548.300048828125,1554.9000244140625,1535.5999755859375,1550.050048828125,3999702
2021-11-12,1497.2991943359375,1553.0,1559.050048828125,1545.050048828125,1550.0,7457046
2021-11-15,1501.396728515625,1557.25,1571.8499755859375,1554.4000244140625,1562.0999755859375,4766797
2021-11-16,1492.478515625,1548.0,1557.199951171875,1541.5999755859375,1555.0,4122703
2021-11-17,1475.8953857421875,1530.800048828125,1544.0,1528.5,1536.9000244140625,3799439
2021-11-18,1484.1868896484375,1539.4000244140625,1543.5,1525.25,1526.050048828125,4576437
2021-11-22,1460.9993896484375,1515.3499755859375,1552.699951171875,1499.050048828125,1546.0,7630636
2021-11-23,1461.1925048828125,1515.550048828125,1527.800048828125,1496.3499755859375,1502.0,5617607
2021-11-24,1463.602783203125,1518.050048828125,1536.3499755859375,1514.050048828125,1524.0,15401143
2021-11-25,1471.2193603515625,1525.949951171875,1533.300048828125,1507.0,1514.800048828125,5125826
2021-11-26,1436.4622802734375,1489.9000244140625,1506.699951171875,1485.0,1500.0,9312468
2021-11-29,1447.4052734375,1501.25,1507.6500244140625,1462.0,1494.800048828125,6495498
2021-11-30,1439.9814453125,1493.550048828125,1529.0,1486.550048828125,1495.0,12610771
2021-12-01,1450.683349609375,1504.6500244140625,1507.050048828125,1489.0999755859375,1495.0,4338817
2021-12-02,1471.026611328125,1525.75,1528.800048828125,1500.0,1504.5,5601555
2021-12-03,1459.26416015625,1513.550048828125,1535.949951171875,1507.050048828125,1525.800048828125,4062347
2021-12-06,1449.8638916015625,1503.800048828125,1518.800048828125,1497.3499755859375,1513.0,3514766
2021-12-07,1470.9781494140625,1525.699951171875,1532.0,1509.9000244140625,1513.949951171875,6213767
2021-12-08,1498.0704345703125,1553.800048828125,1555.050048828125,1534.0,1536.0,7647767
2021-12-09,1472.0870361328125,1526.8499755859375,1554.699951171875,1522.0,1545.199951171875,5873872
2021-12-10,1467.94140625,1522.550048828125,1528.0,1508.449951171875,1524.9000244140625,3889692
2021-12-13,1456.9503173828125,1511.1500244140625,1537.6500244140625,1507.199951171875,1526.0,5161071
2021-12-14,1448.562255859375,1502.449951171875,1516.0,1497.050048828125,1502.5,4595550
2021-12-15,1446.2000732421875,1500.0,1523.3499755859375,1495.6500244140625,1503.0,5057574
2021-12-16,1446.29638671875,1500.0999755859375,1517.0,1494.0,1512.800048828125,6605216
2021-12-17,1420.2166748046875,1473.050048828125,1506.0,1467.699951171875,1497.0,7497384
2021-12-20,1374.5167236328125,1425.6500244140625,1458.0,1414.0999755859375,1452.0,10578334
2021-12-21,1390.0875244140625,1441.800048828125,1450.75,1430.0,1439.5,4559375
2021-12-22,1393.365478515625,1445.199951171875,1456.0,1435.699951171875,1452.300048828125,4288742
2021-12-23,1392.304931640625,1444.0999755859375,1457.800048828125,1436.8499755859375,1453.25,4889583
2021-12-24,1387.2916259765625,1438.9000244140625,1452.0,1428.0,1445.5,2780512
2021-12-27,1398.7647705078125,1450.800048828125,1454.0,1422.1500244140625,1428.9000244140625,2352549
2021-12-28,1408.406005859375,1460.800048828125,1466.9000244140625,1453.4000244140625,1460.699951171875,2725339
2021-12-29,1401.7054443359375,1453.8499755859375,1461.0,1447.4000244140625,1456.050048828125,3834351
2021-12-30,1409.0809326171875,1461.5,1466.8499755859375,1445.0,1458.5,3607959
2021-12-31,1426.3388671875,1479.4000244140625,1484.800048828125,1461.5,1461.5,3162868
2022-01-03,1465.145263671875,1519.6500244140625,1523.0,1480.5,1485.0,4534592
2022-01-04,1473.72607421875,1528.550048828125,1532.9000244140625,1507.800048828125,1520.0,4428676
2022-01-05,1508.72412109375,1564.8499755859375,1572.0,1528.0999755859375,1536.800048828125,7166319
2022-01-06,1484.5242919921875,1539.75,1554.75,1530.050048828125,1543.0,4814465
2022-01-07,1494.93701171875,1550.550048828125,1566.75,1535.9000244140625,1544.0,5589692
2022-01-10,1503.2286376953125,1559.1500244140625,1572.0,1545.5,1558.0,4428248
2022-01-11,1509.7364501953125,1565.9000244140625,1568.699951171875,1547.800048828125,1561.550048828125,4194599
2022-01-12,1500.8182373046875,1556.6500244140625,1576.6500244140625,1552.0,1568.0,10542765
2022-01-13,1473.19580078125,1528.0,1555.0,1520.4000244140625,1555.0,20981948
2022-01-14,1489.730712890625,1545.1500244140625,1548.699951171875,1519.0,1530.0,5604484
2022-01-17,1466.9288330078125,1521.5,1556.0,1519.1500244140625,1530.0,11494686
2022-01-18,1474.40087890625,1529.25,1550.9000244140625,1523.0,1533.0,6170576
2022-01-19,1463.98828125,1518.449951171875,1539.75,1513.3499755859375,1534.0,7158813
2022-01-20,1454.877197265625,1509.0,1528.5,1500.0999755859375,1528.449951171875,7598923
2022-01-21,1467.025390625,1521.5999755859375,1529.800048828125,1485.5999755859375,1500.0,5768847
2022-01-24,1433.3289794921875,1486.6500244140625,1521.25,1467.550048828125,1509.949951171875,5934254
2022-01-25,1434.6787109375,1488.050048828125,1495.0,1444.0,1458.6500244140625,6797124
